[INFO ] [13] [2021-01-29 03:20:11,700] Preparing import process for data catalog: Falken
[INFO ] [66] [2021-01-29 04:20:11,948] Preparing import process for data catalog: Falken
[INFO ] [55] [2021-01-29 06:17:13,331] Preparing import process for data catalog: Reifengundlach
[INFO ] [34] [2021-01-29 06:20:12,561] Preparing import process for data catalog: Falken
[INFO ] [79] [2021-01-29 06:25:12,699] Preparing import process for data catalog: Ronal
[INFO ] [113] [2021-01-29 07:17:13,642] Preparing import process for data catalog: Reifengundlach
[INFO ] [27] [2021-01-29 07:20:12,867] Preparing import process for data catalog: Falken
[INFO ] [29] [2021-01-29 07:25:12,944] Preparing import process for data catalog: Ronal
[INFO ] [147] [2021-01-29 08:17:13,884] Preparing import process for data catalog: Reifengundlach
[INFO ] [117] [2021-01-29 08:20:13,189] Preparing import process for data catalog: Falken
[INFO ] [136] [2021-01-29 08:25:13,265] Preparing import process for data catalog: Ronal
[INFO ] [76] [2021-01-29 09:17:14,218] Preparing import process for data catalog: Reifengundlach
[INFO ] [53] [2021-01-29 09:20:13,386] Preparing import process for data catalog: Falken
[INFO ] [62] [2021-01-29 09:25:13,541] Preparing import process for data catalog: Ronal
[INFO ] [86] [2021-01-29 10:17:14,551] Preparing import process for data catalog: Reifengundlach
[INFO ] [147] [2021-01-29 10:20:13,716] Preparing import process for data catalog: Falken
[INFO ] [100] [2021-01-29 10:25:13,824] Preparing import process for data catalog: Ronal
[INFO ] [113] [2021-01-29 11:17:14,736] Preparing import process for data catalog: Reifengundlach
[INFO ] [80] [2021-01-29 11:20:14,001] Preparing import process for data catalog: Falken
[INFO ] [16] [2021-01-29 11:25:13,979] Preparing import process for data catalog: Ronal
[INFO ] [119] [2021-01-29 12:17:14,956] Preparing import process for data catalog: Reifengundlach
[INFO ] [95] [2021-01-29 12:20:14,182] Preparing import process for data catalog: Falken
[INFO ] [71] [2021-01-29 12:25:14,274] Preparing import process for data catalog: Ronal
[INFO ] [61] [2021-01-29 13:17:15,212] Preparing import process for data catalog: Reifengundlach
[INFO ] [13] [2021-01-29 13:20:14,415] Preparing import process for data catalog: Falken
[INFO ] [100] [2021-01-29 13:25:14,514] Preparing import process for data catalog: Ronal
[INFO ] [35] [2021-01-29 14:17:15,597] Preparing import process for data catalog: Reifengundlach
[INFO ] [86] [2021-01-29 14:20:14,682] Preparing import process for data catalog: Falken
[INFO ] [117] [2021-01-29 14:25:14,756] Preparing import process for data catalog: Ronal
[INFO ] [56] [2021-01-29 15:17:15,714] Preparing import process for data catalog: Reifengundlach
[INFO ] [44] [2021-01-29 15:20:14,873] Preparing import process for data catalog: Falken
[INFO ] [66] [2021-01-29 15:25:14,954] Preparing import process for data catalog: Ronal
[INFO ] [92] [2021-01-29 16:17:15,977] Preparing import process for data catalog: Reifengundlach
[INFO ] [108] [2021-01-29 16:20:15,243] Preparing import process for data catalog: Falken
[INFO ] [126] [2021-01-29 16:25:15,307] Preparing import process for data catalog: Ronal
[INFO ] [140] [2021-01-29 17:17:16,201] Preparing import process for data catalog: Reifengundlach
[INFO ] [50] [2021-01-29 17:20:15,441] Preparing import process for data catalog: Falken
[INFO ] [136] [2021-01-29 17:25:15,527] Preparing import process for data catalog: Ronal
[INFO ] [110] [2021-01-29 18:17:16,441] Preparing import process for data catalog: Reifengundlach
[INFO ] [51] [2021-01-29 18:20:15,651] Preparing import process for data catalog: Falken
[INFO ] [108] [2021-01-29 18:25:15,734] Preparing import process for data catalog: Ronal
[INFO ] [56] [2021-01-29 19:17:16,673] Preparing import process for data catalog: Reifengundlach
[INFO ] [134] [2021-01-29 19:20:15,873] Preparing import process for data catalog: Falken
[INFO ] [70] [2021-01-29 19:25:15,947] Preparing import process for data catalog: Ronal
[INFO ] [10] [2021-01-29 20:17:16,918] Preparing import process for data catalog: Reifengundlach
[INFO ] [76] [2021-01-29 20:20:16,144] Preparing import process for data catalog: Falken
[INFO ] [14] [2021-01-29 20:25:16,189] Preparing import process for data catalog: Ronal
[INFO ] [35] [2021-01-29 21:17:17,086] Preparing import process for data catalog: Reifengundlach
[INFO ] [11] [2021-01-29 21:20:16,304] Preparing import process for data catalog: Falken
[INFO ] [14] [2021-01-29 22:17:17,373] Preparing import process for data catalog: Reifengundlach
[INFO ] [125] [2021-01-29 22:20:16,568] Preparing import process for data catalog: Falken
[INFO ] [18] [2021-01-29 23:20:16,833] Preparing import process for data catalog: Falken
[INFO ] [137] [2021-01-30 00:20:17,053] Preparing import process for data catalog: Falken
[INFO ] [106] [2021-01-30 01:20:17,398] Preparing import process for data catalog: Falken
[INFO ] [73] [2021-01-30 02:20:17,528] Preparing import process for data catalog: Falken
[INFO ] [129] [2021-01-30 03:20:17,903] Preparing import process for data catalog: Falken
[INFO ] [15] [2021-01-30 04:20:18,123] Preparing import process for data catalog: Falken
[INFO ] [64] [2021-01-30 06:17:19,383] Preparing import process for data catalog: Reifengundlach
[INFO ] [127] [2021-01-30 06:20:18,567] Preparing import process for data catalog: Falken
[INFO ] [53] [2021-01-30 07:17:19,691] Preparing import process for data catalog: Reifengundlach
[INFO ] [28] [2021-01-30 07:20:18,876] Preparing import process for data catalog: Falken
[INFO ] [52] [2021-01-30 08:17:19,985] Preparing import process for data catalog: Reifengundlach
[INFO ] [102] [2021-01-30 08:20:19,165] Preparing import process for data catalog: Falken
[INFO ] [77] [2021-01-30 09:17:20,234] Preparing import process for data catalog: Reifengundlach
[INFO ] [5] [2021-01-30 09:20:19,404] Preparing import process for data catalog: Falken
[INFO ] [111] [2021-01-30 10:17:20,451] Preparing import process for data catalog: Reifengundlach
[INFO ] [22] [2021-01-30 10:20:19,697] Preparing import process for data catalog: Falken
[INFO ] [89] [2021-01-30 11:17:20,728] Preparing import process for data catalog: Reifengundlach
[INFO ] [120] [2021-01-30 11:20:19,964] Preparing import process for data catalog: Falken
[INFO ] [132] [2021-01-30 12:17:20,958] Preparing import process for data catalog: Reifengundlach
[INFO ] [38] [2021-01-30 12:20:20,142] Preparing import process for data catalog: Falken
[INFO ] [124] [2021-01-30 13:17:21,209] Preparing import process for data catalog: Reifengundlach
[INFO ] [45] [2021-01-30 13:20:20,371] Preparing import process for data catalog: Falken
[INFO ] [33] [2021-01-30 14:17:21,459] Preparing import process for data catalog: Reifengundlach
[INFO ] [77] [2021-01-30 14:20:20,610] Preparing import process for data catalog: Falken
[INFO ] [78] [2021-01-30 15:17:22,075] Preparing import process for data catalog: Reifengundlach
[INFO ] [133] [2021-01-30 15:20:20,875] Preparing import process for data catalog: Falken
[INFO ] [126] [2021-01-30 16:17:21,927] Preparing import process for data catalog: Reifengundlach
[INFO ] [37] [2021-01-30 16:20:21,114] Preparing import process for data catalog: Falken
[INFO ] [86] [2021-01-30 17:17:22,212] Preparing import process for data catalog: Reifengundlach
[INFO ] [111] [2021-01-30 17:20:21,450] Preparing import process for data catalog: Falken
[INFO ] [103] [2021-01-30 18:17:22,483] Preparing import process for data catalog: Reifengundlach
[INFO ] [105] [2021-01-30 18:20:21,706] Preparing import process for data catalog: Falken
